smiles,CAS_number,formula,IUPAC_Name,property,temperature,value,smiles_base
[H]C12CCC(C(C)C)=CC1=CCC1([H])C(C)(C(=O)O)CCCC21C,514-10-3,C20H30O2,abietic acid,octanol_water_partition_coefficient,-,4.11
C1Cc2c3c1cccc3ccc2,83-32-9,C12H10,acenaphthene,octanol_water_partition_coefficient,-,3.92
O(C(OCC)C)CC,105-57-7,C6H14O2,acetal,octanol_water_partition_coefficient,-,0.84
CC=O,'75-07-0',C2H4O,acetaldehyde,octanol_water_partition_coefficient,-,-0.34
O=C(N)C,60-35-5,C2H5NO,acetamide,octanol_water_partition_coefficient,-,-1.26
O=C(Nc1ccccc1)C,103-84-4,C8H9NO,acetanilide,octanol_water_partition_coefficient,-,1.16
OC(=O)C,64-19-7,C2H4O2,acetic acid,octanol_water_partition_coefficient,-,-0.17
O(C(=O)C)C(=O)C,108-24-7,C4H6O3,acetic anhydride,octanol_water_partition_coefficient,-,-0.58
O=C(C)C,67-64-1,C3H6O,acetone,octanol_water_partition_coefficient,-,-0.24
O=C(CC(=O)C)C,123-54-6,C5H8O2,acetylacetone,octanol_water_partition_coefficient,-,0.4
O=C(C)c1ccccc1,98-86-2,C8H8O,acetophenone,octanol_water_partition_coefficient,-,1.58
CC#N,'75-05-8',C2H3N,acetonitrile,octanol_water_partition_coefficient,-,-0.34
O=CC=C,107-02-8,C3H4O,acrolein,octanol_water_partition_coefficient,-,-0.01
C#C,74-86-2,C2H2,acetylene,octanol_water_partition_coefficient,-,0.37
C=CC(=O)N,'79-06-1',C3H5NO,acrylamide,octanol_water_partition_coefficient,-,-0.67
OC(=O)CCCCC(O)=O,124-04-9,C6H10O4,adipic acid,octanol_water_partition_coefficient,-,0.08
OCC=C,107-18-6,C3H6O,allyl alcohol,octanol_water_partition_coefficient,-,0.17
C=CC(=O)O,'79-10-7',C3H4O2,acrylic acid,octanol_water_partition_coefficient,-,0.35
N#CC=C,107-13-1,C3H3N,acrylonitrile,octanol_water_partition_coefficient,-,0.25
